speaker,utterance,no_se,taps_pretrained,enc_best,ce_best
p02,p02_u52,0.23728813559322035,0.13559322033898305,0.15254237288135594,0.15254237288135594
p02,p02_u53,0.3898305084745763,0.2033898305084746,0.1694915254237288,0.2033898305084746
p02,p02_u54,0.3111111111111111,0.25555555555555554,0.24444444444444444,0.25555555555555554
p02,p02_u55,0.323943661971831,0.22535211267605634,0.14084507042253522,0.16901408450704225
p02,p02_u56,0.5147058823529411,0.2647058823529412,0.2647058823529412,0.23529411764705882
p02,p02_u57,0.35135135135135137,0.2702702702702703,0.2702702702702703,0.2702702702702703
p02,p02_u58,0.42857142857142855,0.1746031746031746,0.15873015873015872,0.23809523809523808
p02,p02_u59,0.5471698113207547,0.3018867924528302,0.20754716981132076,0.18867924528301888
p02,p02_u60,0.3448275862068966,0.1724137931034483,0.20689655172413793,0.1724137931034483
p02,p02_u61,0.2564102564102564,0.23076923076923078,0.10256410256410256,0.05128205128205128
p02,p02_u62,0.2619047619047619,0.16666666666666666,0.07142857142857142,0.21428571428571427
p02,p02_u63,0.3108108108108108,0.21621621621621623,0.21621621621621623,0.12162162162162163
p02,p02_u64,0.35294117647058826,0.23529411764705882,0.25,0.22058823529411764
p02,p02_u65,0.26865671641791045,0.13432835820895522,0.22388059701492538,0.19402985074626866
p02,p02_u66,0.4383561643835616,0.2054794520547945,0.2054794520547945,0.2054794520547945
p02,p02_u67,0.24444444444444444,0.2,0.17777777777777778,0.08888888888888889
p02,p02_u68,0.21686746987951808,0.08433734939759036,0.0963855421686747,0.07228915662650602
p02,p02_u69,0.28125,0.109375,0.140625,0.0625
p02,p02_u70,0.14285714285714285,0.02857142857142857,0.04285714285714286,0.02857142857142857
p02,p02_u71,0.46875,0.21875,0.171875,0.15625
p02,p02_u72,0.1935483870967742,0.1774193548387097,0.1935483870967742,0.16129032258064516
p02,p02_u73,0.34782608695652173,0.2608695652173913,0.1956521739130435,0.10869565217391304
p02,p02_u74,0.3076923076923077,0.24615384615384617,0.24615384615384617,0.18461538461538463
